ArraySize	MergeSort_Time_us
10000	5767.19
20000	6856.03
30000	9957.83
40000	13643
50000	17531.2
60000	21021.1
70000	25065.5
80000	28756.7
90000	32503.3
100000	36674.4
110000	39858.4
120000	43683.6
130000	47627.4
140000	51947.5
150000	55768.4
160000	59585.6
170000	63385.4
180000	67058.1
190000	72154.6
200000	75695
210000	79661.9
220000	83420.1
230000	87227.7
240000	90592.4
250000	94478.1
260000	98467.7
270000	103264
280000	106853
290000	110776
300000	115097
310000	118592
320000	123490
330000	127885
340000	131068
350000	135723
360000	141154
370000	145688
380000	153966
390000	153395
400000	157798
410000	161101
420000	165768
430000	169917
440000	172990
450000	176877
460000	182198
470000	185865
480000	190497
490000	194130
500000	197937
510000	204428
520000	207221
530000	209724
540000	214349
550000	219254
560000	224195
570000	228258
580000	232130
590000	235968
600000	239911
610000	255256
620000	252503
630000	252604
640000	258827
650000	262360
660000	265881
670000	268439
680000	273425
690000	278477
700000	282671
710000	289237
720000	292078
730000	295592
740000	304310
750000	304790
760000	307458
770000	313564
780000	316563
790000	321708
800000	326536
810000	329986
820000	334650
830000	338514
840000	342825
850000	345511
860000	350700
870000	354628
880000	358373
890000	362002
900000	369325
910000	372050
920000	375638
930000	380582
940000	382469
950000	388306
960000	391844
970000	395788
980000	399171
990000	403058
1000000	408269
